number,value,datetime_start,datetime_complete,duration,params_class_weight,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mean_best_iteration,state
47,0.7906466290694694,2025-09-19 01:53:56.699409,2025-09-19 01:53:56.914766,0 days 00:00:00.215357,,0.8193601340733089,0.005862426492200562,16,75,1.9991042262855698,2159,236,7.820227275050918e-08,0.004728886185040178,0.7164497857075331,,PRUNED
48,0.8772718533709305,2025-09-19 01:53:56.946695,2025-09-19 01:54:04.211281,0 days 00:00:07.264586,balanced,0.6381742961739425,0.04251754881795799,8,55,1.0810045446686518,2309,44,4.473237171198251e-06,0.1745739947106692,0.8342346843168975,168.2,COMPLETE
49,0.8139259164316842,2025-09-19 01:54:04.253853,2025-09-19 01:54:04.689713,0 days 00:00:00.435860,balanced,0.669590774047476,0.007470493441250654,10,83,0.8093107687887799,1065,97,1.2000874919356423e-08,0.04455334819115124,0.8622009628392285,,PRUNED
50,0.8122116124070751,2025-09-19 01:54:04.720246,2025-09-19 01:54:05.064295,0 days 00:00:00.344049,balanced,0.715302408491617,0.013383227230811711,16,67,1.5193641081850215,1847,28,0.0026703066739215122,0.5777277985853367,0.7999144185296161,,PRUNED
51,0.8817418610612663,2025-09-19 01:54:05.094871,2025-09-19 01:54:16.686314,0 days 00:00:11.591443,balanced,0.7592913168005772,0.057874611052673275,14,35,0.1468988768727983,2749,23,2.5374095580190566e-08,0.19894234770636024,0.7585818287975682,150.4,COMPLETE
52,0.8477473724685978,2025-09-19 01:54:16.728838,2025-09-19 01:54:18.513192,0 days 00:00:01.784354,balanced,0.7900697103416736,0.12771637642314052,14,42,0.1735175778679618,2751,25,5.085202675083424,3.47512532562081,0.7673330452928789,,PRUNED
53,0.8730645988208151,2025-09-19 01:54:18.547217,2025-09-19 01:54:24.032414,0 days 00:00:05.485197,balanced,0.9982941222754251,0.03923337481857356,14,19,0.4195203484321342,2848,55,9.650546556964328e-07,0.0019263094517333159,0.7754947901258715,112.6,COMPLETE
54,0.812027364778262,2025-09-19 01:54:24.162033,2025-09-19 01:54:24.494656,0 days 00:00:00.332623,balanced,0.8453183183353019,0.025847865723342293,14,32,0.014373233945821712,2599,38,1.0633502802022311e-07,1.3189965844385547,0.7473012275917783,,PRUNED
55,0.878713791335555,2025-09-19 01:54:24.525186,2025-09-19 01:54:32.297716,0 days 00:00:07.772530,balanced,0.8070986294932919,0.07611711141184845,6,58,0.5319526872269162,689,140,2.2690548157436352e-08,0.21378694415437632,0.7147166590081531,174.8,COMPLETE
56,0.8124599461676493,2025-09-19 01:54:32.340113,2025-09-19 01:54:32.706958,0 days 00:00:00.366845,balanced,0.616068693051094,0.018786618310940223,-1,91,0.1585178165230075,1663,25,2.759930938278974e-07,0.024003210860858985,0.8049258883818304,,PRUNED
57,0.8763554216867471,2025-09-19 01:54:32.813522,2025-09-19 01:54:37.210296,0 days 00:00:04.396774,,0.7531898787773222,0.06481877107984363,12,81,0.8028880362948949,1973,70,0.6396833742930803,0.06363458040109214,0.83651478965463,106.8,COMPLETE
58,0.808318379902589,2025-09-19 01:54:37.251589,2025-09-19 01:54:37.517498,0 days 00:00:00.265909,balanced,0.7252826163254011,0.05078851439079743,16,101,0.4336617219035419,1807,50,4.822366381503873e-08,5.401616724456207e-07,0.6342668102145136,,PRUNED
59,0.7928736221481671,2025-09-19 01:54:37.627723,2025-09-19 01:54:37.836379,0 days 00:00:00.208656,balanced,0.7747904783897674,0.01078768926372346,16,75,3.8547002854242267,1526,21,9.000600021827428e-07,0.896263486912587,0.6597761906199647,,PRUNED
60,0.8407780056395796,2025-09-19 01:54:37.867329,2025-09-19 01:54:38.932844,0 days 00:00:01.065515,balanced,0.7488481005726217,0.08983875923250283,4,180,0.15077815365185732,1382,33,2.9869818696288654e-06,1.4040861008129056e-08,0.6781005567840359,,PRUNED
61,0.8153838759292489,2025-09-19 01:54:38.965063,2025-09-19 01:54:39.303400,0 days 00:00:00.338337,balanced,0.7619250504358832,0.05600150736693631,14,38,0.11499588087943985,2309,19,1.537711781860852e-08,0.11204424819843815,0.7594708391623258,,PRUNED
62,0.8751922583952834,2025-09-19 01:54:39.333829,2025-09-19 01:54:44.105383,0 days 00:00:04.771554,balanced,0.8596985785335522,0.19967892658404085,14,29,0.44011554057453445,2423,16,1.844585435426089e-08,2.4973662402764347,0.6137615374550639,52.4,COMPLETE
63,0.8832350679312997,2025-09-19 01:54:44.223563,2025-09-19 01:54:56.751691,0 days 00:00:12.528128,balanced,0.7727816621015313,0.03595091341376309,14,53,0.020627939072116144,2668,40,1.0855401541026293e-07,0.4571843785823208,0.8266299935818966,235.8,COMPLETE
64,0.8795180722891567,2025-09-19 01:54:56.796518,2025-09-19 01:55:05.451039,0 days 00:00:08.654521,balanced,0.7793292639083804,0.03361762574434963,14,52,0.6758660974208854,2589,41,1.092620942956503e-07,0.43872836939087884,0.8174138037764774,186.6,COMPLETE
65,0.8161128556780313,2025-09-19 01:55:05.495220,2025-09-19 01:55:05.862934,0 days 00:00:00.367714,balanced,0.7974951494533352,0.02318183320394745,16,44,0.00398748933379417,2894,58,3.2815626097302987e-07,0.009814500338097507,0.8529117899859366,,PRUNED
66,0.7905905537041784,2025-09-19 01:55:05.895618,2025-09-19 01:55:06.108276,0 days 00:00:00.212658,balanced,0.6840544365629891,0.03950787838989244,14,67,4.724622604638502,2763,34,1.2242693345138543e-07,8.884533179195273,0.8279220372925408,,PRUNED
67,0.809255639579595,2025-09-19 01:55:06.139255,2025-09-19 01:55:06.428292,0 days 00:00:00.289037,balanced,0.8162405277939246,0.0283563932624703,16,60,0.24146209940345395,2616,66,7.706306973109111e-07,7.987466789904135e-05,0.7832500837156946,,PRUNED
68,0.7996186875160215,2025-09-19 01:55:06.460277,2025-09-19 01:55:06.677883,0 days 00:00:00.217606,,0.7242439771907925,0.0015606345332853434,10,70,1.2615238263069,2987,48,3.446230413154277e-08,1.5361988815080387,0.7941293095583746,,PRUNED
69,0.8023263265829275,2025-09-19 01:55:06.712015,2025-09-19 01:55:06.924350,0 days 00:00:00.212335,balanced,0.9095592162911396,0.018016153069628865,16,90,0.44312292350941623,1650,29,1.9035836473402893e-06,0.21072242221152196,0.8763554981419508,,PRUNED
70,0.7944437323763137,2025-09-19 01:55:06.955877,2025-09-19 01:55:07.170541,0 days 00:00:00.214664,balanced,0.8342403408995562,0.02608976420693275,8,78,0.29107069331209406,2682,42,6.934495898746864e-06,0.5675333670452962,0.805412964889633,,PRUNED
71,0.8750897205844655,2025-09-19 01:55:07.201496,2025-09-19 01:55:12.658927,0 days 00:00:05.457431,balanced,0.7667020591560588,0.0575719061597094,14,14,0.050943601806904215,2866,21,5.7228652283359134e-08,0.09142708914237406,0.7292625268602733,151.0,COMPLETE
72,0.8807036657267368,2025-09-19 01:55:12.702763,2025-09-19 01:55:19.528002,0 days 00:00:06.825239,balanced,0.7404031729973525,0.04585430894957701,14,32,0.5961236487749273,2371,34,2.1796940036525078e-07,0.3153406020000822,0.7606875344434095,128.0,COMPLETE
73,0.8808734939759036,2025-09-19 01:55:19.571746,2025-09-19 01:55:33.359816,0 days 00:00:13.788070,balanced,0.6167755550072321,0.0381899167289544,14,54,0.21859313139195743,2494,51,3.750638907215443e-08,0.1212780022549573,0.6968614890872382,215.0,COMPLETE
74,0.8454883363240194,2025-09-19 01:55:33.404288,2025-09-19 01:55:34.389855,0 days 00:00:00.985567,balanced,0.6166664200409918,0.03586943327941344,14,63,0.2888491850178951,2507,51,3.621686723649336e-07,0.021069076645493613,0.6439553028966397,,PRUNED
75,0.8188204947449372,2025-09-19 01:55:34.422532,2025-09-19 01:55:34.807998,0 days 00:00:00.385466,balanced,0.6427389598125395,0.0147468554634081,6,54,0.9036172921835264,2706,209,3.8244056545047364e-08,0.047894858794531814,0.7034352354986861,,PRUNED
76,0.8453281209946167,2025-09-19 01:55:34.840308,2025-09-19 01:55:35.823919,0 days 00:00:00.983611,balanced,0.6306575378310796,0.02769394484278159,16,45,0.6825026085323391,1470,75,8.10299641181516e-08,0.9771882728835429,0.6824604430219644,,PRUNED
77,0.8075813893873366,2025-09-19 01:55:35.856515,2025-09-19 01:55:36.117051,0 days 00:00:00.260536,balanced,0.6605279418615003,0.01979327384699931,12,87,0.17290147683244556,1780,90,1.7503203270730127e-07,2.7201009326501335,0.8239006403117182,,PRUNED
78,0.8183879133555498,2025-09-19 01:55:36.148242,2025-09-19 01:55:36.494111,0 days 00:00:00.345869,balanced,0.6099583115102233,0.03233808632997288,16,70,0.38445478896876395,2045,64,0.005727411312658116,0.13683037890864183,0.8457865399815983,,PRUNED
79,0.8172423737503204,2025-09-19 01:55:36.525064,2025-09-19 01:55:36.902559,0 days 00:00:00.377495,,0.6214317059229268,0.008644205209772902,-1,58,0.5394289345137584,1579,43,1.0534857346723276e-08,2.6042629287240944e-05,0.7480585651051727,,PRUNED
80,0.8422359651371443,2025-09-19 01:55:36.933031,2025-09-19 01:55:37.749873,0 days 00:00:00.816842,balanced,0.6017921648140004,0.046264788564280755,14,49,3.0940402498548134,2112,57,5.655090000527488e-07,0.2628047638349822,0.6927816795004601,,PRUNED
81,0.8028229941040759,2025-09-19 01:55:37.783500,2025-09-19 01:55:38.015819,0 days 00:00:00.232319,balanced,0.7826008105025845,0.06323023793416614,14,35,0.14071151485652705,2562,22,2.4408457553166727e-08,0.14408806855549836,0.8101382230396429,,PRUNED
82,0.8785279415534477,2025-09-19 01:55:38.047450,2025-09-19 01:55:42.015184,0 days 00:00:03.967734,balanced,0.7545017982576802,0.08810830910829592,14,26,0.33084482733582926,2409,29,5.6338924275467524e-08,0.4474299237147092,0.7760790197134061,78.2,COMPLETE
83,0.8010846577800564,2025-09-19 01:55:42.057901,2025-09-19 01:55:42.271486,0 days 00:00:00.213585,balanced,0.7050820415949278,0.03821253246986578,14,79,0.03723713201438156,2495,15,1.361060078988284e-07,0.05268277601654257,0.794228738795595,,PRUNED
84,0.7973276083055627,2025-09-19 01:55:42.302210,2025-09-19 01:55:42.493780,0 days 00:00:00.191570,balanced,0.6371494814210714,0.02361236237827386,16,65,0.7652838830616205,2253,37,2.1583207810425168e-08,0.800848188810877,0.7228115952214875,,PRUNED
85,0.788675980517816,2025-09-19 01:55:42.525741,2025-09-19 01:55:42.734040,0 days 00:00:00.208299,balanced,0.675124363821358,0.011742270119611247,4,52,0.48351363149900345,1977,23,8.064632537910766e-08,0.006009916181121763,0.70662760235134,,PRUNED
86,0.8726640604973085,2025-09-19 01:55:42.765339,2025-09-19 01:55:47.313425,0 days 00:00:04.548086,balanced,0.7988211290120805,0.1150195345460587,14,8,0.2238979838104162,1710,31,3.626537860981453e-08,0.10055300082044044,0.7385635410743141,54.8,COMPLETE
87,0.7983209433478595,2025-09-19 01:55:47.355056,2025-09-19 01:55:47.574356,0 days 00:00:00.219300,balanced,0.7634460924444691,0.03096142240904465,16,73,2.3907030908460056,1887,45,2.2679570821000137e-07,0.0005582469730921933,0.7548776061714101,,PRUNED
88,0.8755255062804409,2025-09-19 01:55:47.606140,2025-09-19 01:55:53.437438,0 days 00:00:05.831298,balanced,0.6556499817728315,0.050349156974229765,16,39,1.05933715010319,2652,38,4.2047658540341343e-07,0.032956390549950504,0.6193876080777015,110.6,COMPLETE
89,0.8817482696744424,2025-09-19 01:55:53.480384,2025-09-19 01:56:03.000906,0 days 00:00:09.520522,balanced,0.8096120281384421,0.0713843827967869,14,63,0.009911483736591445,1402,129,1.1862363124776236e-06,0.012318063522234163,0.6671347999891007,110.4,COMPLETE
90,0.794868302999231,2025-09-19 01:56:03.043724,2025-09-19 01:56:03.277025,0 days 00:00:00.233301,balanced,0.8295452495021661,0.016784312068037814,10,110,0.215562476641288,1426,199,6.16792689607548e-07,0.0019282053082875384,0.6666625945296233,,PRUNED
91,0.8791559856447065,2025-09-19 01:56:03.309346,2025-09-19 01:56:12.444694,0 days 00:00:09.135348,balanced,0.8067701373772187,0.06950929069598824,14,62,0.09250377873527199,1286,126,1.4258834247017198e-06,0.010021702768027945,0.6550473133934488,129.6,COMPLETE
92,0.7996827736477826,2025-09-19 01:56:12.488194,2025-09-19 01:56:12.703219,0 days 00:00:00.215025,balanced,0.7909591457380885,0.04177774249310115,14,55,0.389121876303009,1150,27,2.720956874783863e-06,0.01590335431770195,0.636648813712205,,PRUNED
93,0.8790182004614202,2025-09-19 01:56:12.734115,2025-09-19 01:56:21.960925,0 days 00:00:09.226810,balanced,0.7722851797051153,0.0792032248427522,14,46,0.003344561195181728,1543,112,1.3087441139441688e-05,0.2140678603304666,0.9866603302029548,98.0,COMPLETE
94,0.7934744296334273,2025-09-19 01:56:22.003050,2025-09-19 01:56:22.199218,0 days 00:00:00.196168,balanced,0.7448252134406693,0.05798830123344196,14,84,0.32791647003898317,2828,154,1.4553171822589817e-07,0.003239545234329567,0.6879700995131356,,PRUNED
95,0.8079338631120225,2025-09-19 01:56:22.230229,2025-09-19 01:56:22.486494,0 days 00:00:00.256265,balanced,0.734605554663961,0.024467860517832698,16,72,0.13491029419632047,1613,184,5.387805906299322e-05,1.4335653638617591,0.7703199729018823,,PRUNED
96,0.7910792104588567,2025-09-19 01:56:22.517657,2025-09-19 01:56:22.731266,0 days 00:00:00.213609,balanced,0.8178028874191327,0.03042196374420744,8,59,0.5635487045117471,1750,170,1.6394818874773555e-08,4.663038815039828,0.7859921258683054,,PRUNED
97,0.8137737118687516,2025-09-19 01:56:22.763505,2025-09-19 01:56:23.083532,0 days 00:00:00.320027,,0.78516316872204,0.021171657537563057,14,68,0.23245188727758243,1838,52,1.4365678695773651e-06,0.48451301139261843,0.8583574953006883,,PRUNED
98,0.8163371571391951,2025-09-19 01:56:23.115798,2025-09-19 01:56:23.451109,0 days 00:00:00.335311,balanced,0.6234176425145587,0.03700141115394586,6,51,0.3608030169615689,1658,223,3.120291193504548e-07,0.07243277196334802,0.8347826347192844,,PRUNED
99,0.802831004870546,2025-09-19 01:56:23.483848,2025-09-19 01:56:23.731575,0 days 00:00:00.247727,balanced,0.8397663324891359,0.052866146781172706,16,36,0.4940569734864067,1376,104,6.655273107884649e-08,0.00035152147494360374,0.600986047740009,,PRUNED
