number,value,datetime_start,datetime_complete,duration,params_class_weight,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mean_best_iteration,state
22,0.8351544475775441,2025-09-12 15:52:11.505171,2025-09-12 15:52:19.607511,0 days 00:00:08.102340,,0.9417316160763235,0.006998574061549286,12,71,2.9068263185526573,1069,147,7.760105775181038e-05,0.0008907772834942525,0.8853548448260778,,PRUNED
23,0.8771308638810561,2025-09-12 15:52:19.791937,2025-09-12 15:52:56.816195,0 days 00:00:37.024258,,0.8485326362063386,0.029750158702364138,12,116,1.09546574539721,658,50,6.636165976711992e-07,0.001090568333184033,0.9914620385167563,281.2,COMPLETE
24,0.873939374519354,2025-09-12 15:52:24.403260,2025-09-12 15:52:49.699705,0 days 00:00:25.296445,,0.9137785717356282,0.028775350677883938,12,63,1.5569903236870246,721,159,5.559907816332667e-07,1.4792283989395087,0.9980516341955215,196.6,COMPLETE
25,0.8763714432196872,2025-09-12 15:52:49.913272,2025-09-12 15:53:14.215725,0 days 00:00:24.302453,,0.9191084963245829,0.03174354947314751,12,64,1.2818948748111996,790,110,7.227838625664193e-08,0.7888710348870754,0.9975939340599443,190.0,COMPLETE
26,0.874288643937452,2025-09-12 15:52:57.091860,2025-09-12 15:53:11.502921,0 days 00:00:14.411061,,0.8513079455599614,0.0835150351897696,12,62,1.3140631778901268,787,158,6.779158087191004e-08,0.7078553085470144,0.9970794758068909,62.6,COMPLETE
27,0.8791495770315304,2025-09-12 15:53:11.893699,2025-09-12 15:53:29.691876,0 days 00:00:17.798177,,0.851342626356092,0.08901136372931757,12,57,0.8136105703225351,820,153,3.73010452478555e-08,1.4779387956996244,0.9921647079779734,76.8,COMPLETE
28,0.8760029479620609,2025-09-12 15:53:12.613118,2025-09-12 15:54:33.795987,0 days 00:01:21.182869,,0.8541272413058115,0.010697955086555966,6,110,0.8449650714128505,1016,227,1.6167955523502987e-08,5.710470425363537e-06,0.8176074590397926,999.8,COMPLETE
29,0.8738528582414766,2025-09-12 15:53:14.504361,2025-09-12 15:54:35.800471,0 days 00:01:21.296110,,0.9632761778742337,0.008066046657609103,6,105,0.8139334189456007,1035,45,2.0637771416837265e-07,1.1107730177236942e-05,0.8260434855351791,1016.4,COMPLETE
30,0.8385510125608817,2025-09-12 15:53:29.913799,2025-09-12 15:53:48.799206,0 days 00:00:18.885407,balanced,0.7724981976096676,0.011341219064829067,-1,7,0.7044342512409484,1041,225,4.664300897786474e-06,2.308905146121192e-05,0.9092379167454254,,PRUNED
31,0.8548609330940784,2025-09-12 15:53:48.413980,2025-09-12 15:57:30.701406,0 days 00:03:42.287426,balanced,0.7831415480822946,0.0011194948458841765,8,6,0.03614511443995905,2983,121,1.199056216430183e-08,8.177049076913052e-06,0.9110899501347898,,PRUNED
32,0.8740419123301718,2025-09-12 15:53:49.103553,2025-09-12 15:54:08.104073,0 days 00:00:19.000520,,0.8538057314634059,0.19306824421560412,8,108,0.12729987069688187,1580,47,1.0780285368993571e-08,2.8230149938086585e-06,0.9519748263207227,53.0,COMPLETE
33,0.8741604716739297,2025-09-12 15:54:08.398972,2025-09-12 15:57:08.605922,0 days 00:03:00.206950,,0.8128376460101716,0.0034798004233530804,6,116,0.0036513998811942283,2944,77,4.970275951590471e-06,0.0328624175662163,0.8400431893611519,2391.8,COMPLETE
34,0.8813124839784671,2025-09-12 15:54:34.006927,2025-09-12 15:58:15.103634,0 days 00:03:41.096707,,0.8074867853080494,0.003600994973731546,14,91,0.010345569069830807,2970,123,8.11731802808961e-06,4.428455825784363e-07,0.9545296410172244,2127.8,COMPLETE
35,0.8834817995385797,2025-09-12 15:54:36.015551,2025-09-12 15:58:04.515722,0 days 00:03:28.500171,,0.8024676168360607,0.004089352048600774,14,52,0.3843355892052591,2997,78,9.530663558544868e-06,0.0009159704389647938,0.7508538964209508,1561.2,COMPLETE
36,0.828177069982056,2025-09-12 15:54:48.690936,2025-09-12 15:54:56.715629,0 days 00:00:08.024693,,0.8092725221980317,0.0037254578194725048,14,92,0.3654661246050025,402,78,3.370292557801475e-06,0.0003914275672539296,0.8647934132048856,,PRUNED
