number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_class_weight,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
78,0.851579290133507,2025-09-11 13:31:36.803864,2025-09-11 13:31:41.244511,0 days 00:00:04.440647,False,,entropy,8.0,1.0,4,9,665,PRUNED
79,0.81489742754803,2025-09-11 13:31:41.663406,2025-09-11 13:31:47.282019,0 days 00:00:05.618613,False,,entropy,32.0,sqrt,16,5,1094,PRUNED
80,0.8551611852816672,2025-09-11 13:31:41.880985,2025-09-11 13:31:47.367813,0 days 00:00:05.486828,False,,entropy,32.0,1.0,13,5,1102,PRUNED
81,0.8824478325622028,2025-09-11 13:31:46.979964,2025-09-11 13:32:04.579745,0 days 00:00:17.599781,False,,entropy,,1.0,2,3,495,COMPLETE
82,0.8826732936270218,2025-09-11 13:31:47.449495,2025-09-11 13:32:13.252087,0 days 00:00:25.802592,False,,entropy,,1.0,2,3,801,COMPLETE
83,0.8814131569805351,2025-09-11 13:31:47.716233,2025-09-11 13:32:16.092719,0 days 00:00:28.376486,False,,entropy,,1.0,2,8,1006,COMPLETE
84,0.9088620342396778,2025-09-11 13:31:48.287958,2025-09-11 13:31:58.057561,0 days 00:00:09.769603,False,,entropy,,1.0,2,3,258,PRUNED
85,0.8817097700944247,2025-09-11 13:31:52.543187,2025-09-11 13:32:20.051113,0 days 00:00:27.507926,False,,entropy,,1.0,2,7,1012,COMPLETE
86,0.8810857642344745,2025-09-11 13:31:59.129295,2025-09-11 13:32:14.588121,0 days 00:00:15.458826,False,,entropy,,1.0,2,7,482,COMPLETE
87,0.8825326648415359,2025-09-11 13:32:04.996314,2025-09-11 13:32:21.223244,0 days 00:00:16.226930,False,,entropy,,1.0,2,3,483,COMPLETE
88,0.9091056752103434,2025-09-11 13:32:13.999207,2025-09-11 13:32:26.020805,0 days 00:00:12.021598,False,,entropy,,1.0,3,3,487,PRUNED
89,0.8803400539842595,2025-09-11 13:32:15.694725,2025-09-11 13:32:40.942745,0 days 00:00:25.248020,False,,entropy,,1.0,3,3,807,COMPLETE
90,0.885894812071598,2025-09-11 13:32:16.669839,2025-09-11 13:32:26.936314,0 days 00:00:10.266475,False,,entropy,,0.5,3,3,1004,PRUNED
91,0.8852938310106228,2025-09-11 13:32:20.307806,2025-09-11 13:32:29.752737,0 days 00:00:09.444931,False,,entropy,,0.5,3,3,791,PRUNED
92,0.8663139042657115,2025-09-11 13:32:22.701269,2025-09-11 13:32:25.916594,0 days 00:00:03.215325,True,,entropy,,0.5,3,3,360,PRUNED
93,0.8836465763384627,2025-09-11 13:32:26.893389,2025-09-11 13:32:51.940122,0 days 00:00:25.046733,False,,entropy,,1.0,1,4,809,COMPLETE
94,0.8837361897776403,2025-09-11 13:32:26.944683,2025-09-11 13:32:51.688518,0 days 00:00:24.743835,False,,entropy,,1.0,1,4,799,COMPLETE
95,0.8836498497962539,2025-09-11 13:32:27.068914,2025-09-11 13:32:51.876959,0 days 00:00:24.808045,False,,entropy,,1.0,1,4,810,COMPLETE
96,0.8836259673747154,2025-09-11 13:32:30.230442,2025-09-11 13:32:56.677192,0 days 00:00:26.446750,False,,entropy,,1.0,1,5,923,COMPLETE
97,0.8840760053306624,2025-09-11 13:32:41.090736,2025-09-11 13:33:01.224103,0 days 00:00:20.133367,False,,entropy,,0.8,1,4,915,COMPLETE
98,0.8810866634820125,2025-09-11 13:32:51.840224,2025-09-11 13:33:03.579286,0 days 00:00:11.739062,False,,entropy,16.0,0.8,1,4,909,COMPLETE
99,0.8868693759542605,2025-09-11 13:32:52.028767,2025-09-11 13:32:58.855607,0 days 00:00:06.826840,False,,gini,16.0,0.8,1,4,533,PRUNED
