number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_class_weight,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
137,0.9182836881732808,2025-09-18 18:51:55.977006,2025-09-18 18:52:06.645956,0 days 00:00:10.668950,False,balanced,entropy,32.0,0.8,2,5,1589,COMPLETE
138,0.899157060209695,2025-09-18 18:52:06.666276,2025-09-18 18:52:16.012144,0 days 00:00:09.345868,False,balanced,entropy,32.0,log2,4,7,1712,COMPLETE
139,0.9117783349424269,2025-09-18 18:52:16.032915,2025-09-18 18:52:25.056549,0 days 00:00:09.023634,False,balanced,entropy,32.0,sqrt,3,5,1585,COMPLETE
140,0.9173370330160516,2025-09-18 18:52:25.077334,2025-09-18 18:52:35.919604,0 days 00:00:10.842270,False,balanced,entropy,32.0,0.8,2,6,1663,COMPLETE
141,0.9181216660022009,2025-09-18 18:52:35.940291,2025-09-18 18:52:45.402665,0 days 00:00:09.462374,False,balanced,entropy,32.0,0.8,2,4,1424,COMPLETE
142,0.9182027546254947,2025-09-18 18:52:45.423661,2025-09-18 18:52:56.209304,0 days 00:00:10.785643,False,balanced,entropy,32.0,0.8,2,4,1642,COMPLETE
143,0.9170117557918719,2025-09-18 18:52:56.230600,2025-09-18 18:53:06.934731,0 days 00:00:10.704131,False,balanced,entropy,32.0,0.8,3,4,1644,COMPLETE
144,0.9158979119950302,2025-09-18 18:53:06.956177,2025-09-18 18:53:18.848587,0 days 00:00:11.892410,False,balanced,entropy,32.0,0.8,2,9,1763,COMPLETE
145,0.9183554680348601,2025-09-18 18:53:18.868586,2025-09-18 18:53:29.041453,0 days 00:00:10.172867,False,balanced,entropy,32.0,0.8,2,5,1514,COMPLETE
146,0.9169109159860668,2025-09-18 18:53:29.062005,2025-09-18 18:53:39.409735,0 days 00:00:10.347730,False,balanced,entropy,,0.8,3,6,1589,COMPLETE
147,0.9173343223681092,2025-09-18 18:53:39.430619,2025-09-18 18:53:51.274363,0 days 00:00:11.843744,False,balanced,entropy,32.0,0.8,1,8,1785,COMPLETE
148,0.9166896524323114,2025-09-18 18:53:51.295182,2025-09-18 18:54:01.297784,0 days 00:00:10.002602,False,balanced,entropy,32.0,0.8,3,7,1529,COMPLETE
149,0.9158464087320924,2025-09-18 18:54:01.317410,2025-09-18 18:54:08.947873,0 days 00:00:07.630463,False,balanced,entropy,12.0,0.8,11,5,1504,PRUNED
150,0.9183097228757309,2025-09-18 18:54:08.967104,2025-09-18 18:54:17.490157,0 days 00:00:08.523053,False,balanced,entropy,32.0,0.8,2,5,1242,COMPLETE
151,0.918283789300283,2025-09-18 18:54:17.511024,2025-09-18 18:54:25.894904,0 days 00:00:08.383880,False,balanced,entropy,32.0,0.8,2,5,1243,COMPLETE
152,0.9173206020995934,2025-09-18 18:54:25.915654,2025-09-18 18:54:34.302806,0 days 00:00:08.387152,False,balanced,entropy,32.0,0.8,2,6,1255,COMPLETE
153,0.918148481265477,2025-09-18 18:54:34.324442,2025-09-18 18:54:42.721545,0 days 00:00:08.397103,False,balanced,entropy,32.0,0.8,1,5,1193,COMPLETE
154,0.9183045829583252,2025-09-18 18:54:42.741809,2025-09-18 18:54:51.601018,0 days 00:00:08.859209,False,balanced,entropy,32.0,0.8,1,5,1308,COMPLETE
155,0.917370981858461,2025-09-18 18:54:51.621497,2025-09-18 18:55:00.427939,0 days 00:00:08.806442,False,balanced,entropy,32.0,0.8,1,6,1294,COMPLETE
156,0.9167743029263372,2025-09-18 18:55:00.449041,2025-09-18 18:55:08.920434,0 days 00:00:08.471393,False,balanced,entropy,16.0,0.8,1,8,1238,COMPLETE
157,0.9238378325699249,2025-09-18 18:55:08.940321,2025-09-18 18:55:17.028662,0 days 00:00:08.088341,True,balanced,entropy,32.0,0.8,2,7,1331,PRUNED
