number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_class_weight,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
75,0.8793738784926942,2025-09-18 17:35:51.792772,2025-09-18 17:35:56.255569,0 days 00:00:04.462797,False,balanced,entropy,24.0,0.5,3,6,655,COMPLETE
76,0.8612855678031275,2025-09-18 17:35:56.276974,2025-09-18 17:36:00.400298,0 days 00:00:04.123324,False,balanced,entropy,8.0,0.5,1,2,626,PRUNED
77,0.8794892335298641,2025-09-18 17:36:00.419247,2025-09-18 17:36:03.551840,0 days 00:00:03.132593,False,balanced,entropy,24.0,0.5,3,5,449,COMPLETE
78,0.8646020251217638,2025-09-18 17:36:03.572746,2025-09-18 17:36:05.992246,0 days 00:00:02.419500,False,balanced,gini,32.0,0.5,16,11,347,PRUNED
79,0.8728979748782363,2025-09-18 17:36:06.009821,2025-09-18 17:36:10.735500,0 days 00:00:04.725679,True,balanced,entropy,24.0,0.5,1,8,573,COMPLETE
80,0.8387592924891054,2025-09-18 17:36:10.756001,2025-09-18 17:36:12.551781,0 days 00:00:01.795780,False,,entropy,24.0,log2,10,3,295,PRUNED
81,0.8814630863881057,2025-09-18 17:36:12.569406,2025-09-18 17:36:17.832734,0 days 00:00:05.263328,False,balanced,entropy,24.0,0.5,2,3,787,COMPLETE
82,0.8815784414252755,2025-09-18 17:36:17.853654,2025-09-18 17:36:22.526540,0 days 00:00:04.672886,False,balanced,entropy,24.0,0.5,2,4,675,COMPLETE
83,0.8820943347859524,2025-09-18 17:36:22.549252,2025-09-18 17:36:27.046831,0 days 00:00:04.497579,False,balanced,entropy,24.0,0.5,2,5,668,COMPLETE
84,0.8800948474750065,2025-09-18 17:36:27.067599,2025-09-18 17:36:30.562189,0 days 00:00:03.494590,False,balanced,entropy,16.0,0.5,1,6,497,COMPLETE
85,0.8655953601640606,2025-09-18 17:36:30.582964,2025-09-18 17:36:34.944484,0 days 00:00:04.361520,False,balanced,entropy,24.0,sqrt,3,5,733,COMPLETE
86,0.8786048449115611,2025-09-18 17:36:34.964869,2025-09-18 17:36:40.779478,0 days 00:00:05.814609,False,balanced,entropy,24.0,0.5,2,9,892,COMPLETE
87,0.8794603947705717,2025-09-18 17:36:40.800993,2025-09-18 17:36:43.486703,0 days 00:00:02.685710,False,balanced,entropy,24.0,0.5,3,2,368,COMPLETE
88,0.8628877210971546,2025-09-18 17:36:43.506684,2025-09-18 17:36:49.472800,0 days 00:00:05.966116,False,balanced,entropy,8.0,0.5,5,7,954,PRUNED
89,0.86816521404768,2025-09-18 17:36:49.490519,2025-09-18 17:36:53.154524,0 days 00:00:03.664005,False,balanced,entropy,16.0,0.5,1,25,545,COMPLETE
90,0.8749455267880031,2025-09-18 17:36:53.175072,2025-09-18 17:36:57.141775,0 days 00:00:03.966703,False,balanced,gini,32.0,0.5,4,5,603,COMPLETE
91,0.8815784414252755,2025-09-18 17:36:57.167109,2025-09-18 17:37:01.657919,0 days 00:00:04.490810,False,balanced,entropy,24.0,0.5,2,4,658,COMPLETE
92,0.8815303768264549,2025-09-18 17:37:01.678881,2025-09-18 17:37:06.246219,0 days 00:00:04.567338,False,balanced,entropy,24.0,0.5,2,2,671,COMPLETE
93,0.8777589079723148,2025-09-18 17:37:06.268360,2025-09-18 17:37:09.843154,0 days 00:00:03.574794,False,balanced,entropy,24.0,0.5,3,8,521,COMPLETE
94,0.867992181491925,2025-09-18 17:37:09.863489,2025-09-18 17:37:12.626117,0 days 00:00:02.762628,False,balanced,entropy,24.0,log2,1,6,449,COMPLETE
95,0.8813893873365805,2025-09-18 17:37:12.646681,2025-09-18 17:37:17.404113,0 days 00:00:04.757432,False,balanced,entropy,24.0,0.5,2,4,710,COMPLETE
96,0.8664124583440144,2025-09-18 17:37:17.426225,2025-09-18 17:37:20.800074,0 days 00:00:03.373849,False,,entropy,24.0,sqrt,3,4,580,COMPLETE
97,0.8721802102025122,2025-09-18 17:37:20.820086,2025-09-18 17:37:24.178158,0 days 00:00:03.358072,True,balanced,entropy,24.0,0.5,1,7,397,COMPLETE
98,0.8583376057421174,2025-09-18 17:37:24.199226,2025-09-18 17:37:29.443278,0 days 00:00:05.244052,False,balanced,entropy,16.0,0.5,19,2,833,PRUNED
99,0.8798449115611382,2025-09-18 17:37:29.462445,2025-09-18 17:37:31.485842,0 days 00:00:02.023397,False,balanced,entropy,24.0,0.5,2,3,250,COMPLETE
100,0.8739682132786465,2025-09-18 18:34:37.085962,2025-09-18 18:34:40.285040,0 days 00:00:03.199078,False,balanced,entropy,24.0,0.5,4,12,468,COMPLETE
101,0.8814438605485773,2025-09-18 18:34:40.307007,2025-09-18 18:34:44.852422,0 days 00:00:04.545415,False,balanced,entropy,24.0,0.5,2,4,669,COMPLETE
102,0.8822193027428865,2025-09-18 18:34:44.872213,2025-09-18 18:34:50.030444,0 days 00:00:05.158231,False,balanced,entropy,24.0,0.5,2,5,745,COMPLETE
103,0.8825173032555755,2025-09-18 18:34:50.050080,2025-09-18 18:34:55.285511,0 days 00:00:05.235431,False,balanced,entropy,24.0,0.5,1,6,755,COMPLETE
104,0.8820622917200718,2025-09-18 18:34:55.306185,2025-09-18 18:34:59.651210,0 days 00:00:04.345025,False,balanced,entropy,24.0,0.5,1,6,616,COMPLETE
105,0.8808831068956678,2025-09-18 18:34:59.671541,2025-09-18 18:35:04.671443,0 days 00:00:04.999902,False,balanced,entropy,24.0,0.5,1,8,728,COMPLETE
106,0.8823891309920533,2025-09-18 18:35:04.692028,2025-09-18 18:35:09.951085,0 days 00:00:05.259057,False,balanced,entropy,24.0,0.5,1,6,746,COMPLETE
107,0.8789701358625994,2025-09-18 18:35:09.971456,2025-09-18 18:35:15.291222,0 days 00:00:05.319766,False,balanced,entropy,16.0,0.8,1,9,761,COMPLETE
108,0.8815367854396309,2025-09-18 18:35:15.312418,2025-09-18 18:35:21.939198,0 days 00:00:06.626780,False,balanced,entropy,24.0,0.5,1,7,1022,COMPLETE
109,0.8631440656241989,2025-09-18 18:35:21.960012,2025-09-18 18:35:27.102625,0 days 00:00:05.142613,False,balanced,entropy,8.0,0.5,1,6,835,PRUNED
110,0.853306844398872,2025-09-18 18:35:27.121763,2025-09-18 18:35:33.055609,0 days 00:00:05.933846,True,balanced,gini,24.0,log2,3,10,862,PRUNED
111,0.8815880543450396,2025-09-18 18:35:33.073630,2025-09-18 18:35:37.267010,0 days 00:00:04.193380,False,balanced,entropy,24.0,0.5,2,3,613,COMPLETE
112,0.882607023840041,2025-09-18 18:35:37.288211,2025-09-18 18:35:41.280036,0 days 00:00:03.991825,False,balanced,entropy,24.0,0.5,1,5,578,COMPLETE
113,0.8827864650089721,2025-09-18 18:35:41.299925,2025-09-18 18:35:46.473244,0 days 00:00:05.173319,False,balanced,entropy,24.0,0.5,1,5,755,COMPLETE
114,0.882847346834145,2025-09-18 18:35:46.494806,2025-09-18 18:35:51.639107,0 days 00:00:05.144301,False,balanced,entropy,24.0,0.5,1,5,765,COMPLETE
115,0.8823218405537041,2025-09-18 18:35:51.660601,2025-09-18 18:35:56.871520,0 days 00:00:05.210919,False,balanced,entropy,32.0,0.5,1,6,760,COMPLETE
116,0.883021981543194,2025-09-18 18:35:56.891448,2025-09-18 18:36:01.870512,0 days 00:00:04.979064,False,,entropy,32.0,0.5,1,6,759,COMPLETE
117,0.8700333247885158,2025-09-18 18:36:01.891736,2025-09-18 18:36:06.995953,0 days 00:00:05.104217,False,,entropy,32.0,sqrt,1,11,929,COMPLETE
118,0.882071904639836,2025-09-18 18:36:07.015713,2025-09-18 18:36:11.871962,0 days 00:00:04.856249,False,,entropy,32.0,0.5,1,8,740,COMPLETE
119,0.8819693668290182,2025-09-18 18:36:11.891859,2025-09-18 18:36:16.771345,0 days 00:00:04.879486,False,,entropy,32.0,0.5,1,8,757,COMPLETE
120,0.8803768264547551,2025-09-18 18:36:16.791846,2025-09-18 18:36:21.410558,0 days 00:00:04.618712,False,,entropy,32.0,0.5,1,9,700,COMPLETE
121,0.8830892719815431,2025-09-18 18:36:21.430145,2025-09-18 18:36:26.611025,0 days 00:00:05.180880,False,,entropy,32.0,0.5,1,6,802,COMPLETE
122,0.869462958215842,2025-09-18 18:36:26.632132,2025-09-18 18:36:31.625772,0 days 00:00:04.993640,False,,entropy,32.0,0.5,1,28,792,COMPLETE
123,0.8821984747500642,2025-09-18 18:36:31.648892,2025-09-18 18:36:37.356676,0 days 00:00:05.707784,False,,entropy,32.0,0.5,1,5,885,COMPLETE
124,0.8821888618303,2025-09-18 18:36:37.377047,2025-09-18 18:36:43.142155,0 days 00:00:05.765108,False,,entropy,32.0,0.5,1,5,876,COMPLETE
125,0.8829755190976674,2025-09-18 18:36:43.162590,2025-09-18 18:36:48.777912,0 days 00:00:05.615322,False,,entropy,32.0,0.5,1,6,875,COMPLETE
126,0.872641630351192,2025-09-18 18:36:48.797836,2025-09-18 18:36:54.276908,0 days 00:00:05.479072,False,,entropy,32.0,0.8,1,22,812,COMPLETE
127,0.8823122276339399,2025-09-18 18:36:54.299414,2025-09-18 18:37:00.125602,0 days 00:00:05.826188,False,,entropy,32.0,0.5,1,7,909,COMPLETE
128,0.8815560112791593,2025-09-18 18:37:00.146714,2025-09-18 18:37:06.477284,0 days 00:00:06.330570,False,,entropy,32.0,0.5,2,7,996,COMPLETE
129,0.8822881953345296,2025-09-18 18:37:06.497833,2025-09-18 18:37:12.510420,0 days 00:00:06.012587,False,,entropy,32.0,0.5,1,7,924,COMPLETE
130,0.8648904127146886,2025-09-18 18:37:12.530253,2025-09-18 18:37:18.982520,0 days 00:00:06.452267,False,,entropy,32.0,0.5,15,10,1136,PRUNED
131,0.8823442706998204,2025-09-18 18:37:19.000143,2025-09-18 18:37:24.925995,0 days 00:00:05.925852,False,,entropy,32.0,0.5,1,7,915,COMPLETE
132,0.8817546782876186,2025-09-18 18:37:24.946269,2025-09-18 18:37:31.782612,0 days 00:00:06.836343,False,,entropy,32.0,0.5,1,7,1076,COMPLETE
133,0.8806684183542682,2025-09-18 18:37:31.802472,2025-09-18 18:37:37.785046,0 days 00:00:05.982574,False,,entropy,32.0,0.5,1,9,931,COMPLETE
134,0.882844142527557,2025-09-18 18:37:37.807221,2025-09-18 18:37:43.965375,0 days 00:00:06.158154,False,,entropy,32.0,0.5,1,6,976,COMPLETE
135,0.8821167649320687,2025-09-18 18:37:43.985598,2025-09-18 18:37:50.123789,0 days 00:00:06.138191,False,,entropy,32.0,0.5,1,7,972,COMPLETE
136,0.8654960266598308,2025-09-18 18:37:50.143405,2025-09-18 18:37:55.618296,0 days 00:00:05.474891,False,,gini,32.0,0.5,8,6,900,COMPLETE
137,0.8707158420917713,2025-09-18 18:37:55.637683,2025-09-18 18:38:01.987037,0 days 00:00:06.349354,True,,entropy,32.0,0.5,2,9,854,COMPLETE
138,0.8779191233017174,2025-09-18 18:38:02.007748,2025-09-18 18:38:08.327047,0 days 00:00:06.319299,False,,entropy,32.0,0.5,1,12,1011,COMPLETE
139,0.8813941937964624,2025-09-18 18:38:08.347087,2025-09-18 18:38:13.536237,0 days 00:00:05.189150,False,,entropy,32.0,0.5,2,7,811,COMPLETE
140,0.8675788259420661,2025-09-18 18:38:13.555875,2025-09-18 18:38:19.086954,0 days 00:00:05.531079,False,,entropy,32.0,log2,1,8,1058,COMPLETE
141,0.8828761855934376,2025-09-18 18:38:19.107153,2025-09-18 18:38:25.063797,0 days 00:00:05.956644,False,,entropy,32.0,0.5,1,6,927,COMPLETE
142,0.8828697769802615,2025-09-18 18:38:25.083974,2025-09-18 18:38:31.312728,0 days 00:00:06.228754,False,,entropy,32.0,0.5,1,6,975,COMPLETE
143,0.8812916559856447,2025-09-18 18:38:31.332402,2025-09-18 18:38:37.431154,0 days 00:00:06.098752,False,,entropy,32.0,0.5,2,6,977,COMPLETE
144,0.8830620353755447,2025-09-18 18:38:37.451356,2025-09-18 18:38:42.919762,0 days 00:00:05.468406,False,,entropy,32.0,0.5,1,6,848,COMPLETE
