number,value,datetime_start,datetime_complete,duration,params_class_weight,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mean_best_iteration,state
51,0.9067365752555787,2025-09-19 01:23:31.550519,2025-09-19 01:23:36.151195,0 days 00:00:04.600676,,0.8595069280450623,0.056759407907529036,12,62,0.6252459834599822,1217,218,0.5909833510338013,0.3387245907285681,0.7021330937706491,105.6,COMPLETE
52,0.9084049530947894,2025-09-19 01:23:36.181545,2025-09-19 01:23:40.455792,0 days 00:00:04.274247,,0.8460055198647899,0.08811855572112609,12,53,0.15360342682635547,1122,226,0.23609598424177128,0.024939474546746346,0.6766789099854947,72.6,COMPLETE
53,0.9059341871816173,2025-09-19 01:23:40.485703,2025-09-19 01:23:45.316530,0 days 00:00:04.830827,,0.8430866421562873,0.09795343512365642,12,52,0.011990292422777441,1385,255,0.0620562599367255,0.0023895056232986676,0.6586448678781824,53.0,COMPLETE
54,0.8694480625203517,2025-09-19 01:23:45.346243,2025-09-19 01:23:45.542543,0 days 00:00:00.196300,,0.8890926999613018,0.08282472550074349,14,42,0.2780748643338442,1053,245,0.13887914795044312,0.0387537039161606,0.674568133135367,,PRUNED
55,0.8920058612829698,2025-09-19 01:23:45.565546,2025-09-19 01:23:46.034829,0 days 00:00:00.469283,,0.9149479366825283,0.1182980574682653,12,84,0.213462559079967,1694,230,0.013624363039503845,2.8641613833499275,0.6428083513971404,,PRUNED
56,0.8564718332790622,2025-09-19 01:23:46.059067,2025-09-19 01:23:46.258990,0 days 00:00:00.199923,,0.9729132637637404,0.06636440063396191,14,54,0.42409026613598255,1139,171,0.00021551644845083077,0.8497027800961465,0.9801940692212134,,PRUNED
57,0.829111038749593,2025-09-19 01:23:46.283288,2025-09-19 01:23:46.473368,0 days 00:00:00.190080,balanced,0.8692389168403469,0.0011407744528084765,8,92,0.11334634490399609,1601,206,5.839230568740659,4.071397274497179,0.6161473682278205,,PRUNED
58,0.8610468902637577,2025-09-19 01:23:46.496287,2025-09-19 01:23:46.717227,0 days 00:00:00.220940,,0.836400961476845,0.027930274670756955,16,76,0.7895224845565915,836,227,1.0452235559348073,0.01763336114050462,0.6472059310432282,,PRUNED
59,0.8568056007815044,2025-09-19 01:23:46.740885,2025-09-19 01:23:46.926258,0 days 00:00:00.185373,,0.8061783539955361,0.0018278554742706188,14,63,4.814485694780864,499,247,0.03462802200262893,0.13413962589840372,0.6818190776793135,,PRUNED
60,0.8608596548355585,2025-09-19 01:23:46.949662,2025-09-19 01:23:47.154146,0 days 00:00:00.204484,,0.8998902810567251,0.03494579422606169,12,45,0.4112465202786869,700,213,3.730420778911776e-05,2.1828424294561982e-08,0.6069390467462017,,PRUNED
61,0.8703842396613481,2025-09-19 01:23:47.177426,2025-09-19 01:23:47.377498,0 days 00:00:00.200072,,0.8486147647862423,0.04629767987288809,12,57,0.7095534515441305,1306,220,0.3211530513585296,0.559022462812621,0.7187964491334337,,PRUNED
62,0.9069647021170335,2025-09-19 01:23:47.400348,2025-09-19 01:23:53.485418,0 days 00:00:06.085070,,0.8591988136193429,0.052482626030852936,12,64,0.9839650002010165,1533,237,0.0006703022109215108,0.4021450435756139,0.6963362275580065,111.6,COMPLETE
63,0.866387170302833,2025-09-19 01:23:53.516458,2025-09-19 01:23:53.745682,0 days 00:00:00.229224,,0.8251759495759178,0.08873858933765483,12,67,1.2911999190926648,1575,235,0.0006287392600925528,0.004815147763175328,0.6917108298812696,,PRUNED
64,0.9023770758710518,2025-09-19 01:23:53.768865,2025-09-19 01:23:55.174696,0 days 00:00:01.405831,,0.8757719814633268,0.13470342380741607,12,72,1.0126155314034038,1473,250,0.0018028067149725286,0.05569587041097233,0.6313930246776545,,PRUNED
65,0.8845083034842071,2025-09-19 01:23:55.197225,2025-09-19 01:23:55.527399,0 days 00:00:00.330174,,0.864157914448153,0.0672757779284263,14,86,0.14075805203834751,1766,239,0.0037251760704052157,1.1051645472394054,0.65778815563205,,PRUNED
66,0.8503907521979811,2025-09-19 01:23:55.550314,2025-09-19 01:23:55.724118,0 days 00:00:00.173804,,0.8906404083936735,0.05306020336928276,6,99,3.7510727048231303,1342,228,0.00028179448365715993,6.016003394150512,0.7897473047952196,,PRUNED
67,0.8864376424617388,2025-09-19 01:23:55.747289,2025-09-19 01:23:56.189264,0 days 00:00:00.441975,,0.9242873092344583,0.04218181373075487,14,79,0.013634288999123584,971,201,0.0077889573447544,0.00040148371969688033,0.832260078080611,,PRUNED
68,0.9036387029243359,2025-09-19 01:23:56.212826,2025-09-19 01:23:58.877009,0 days 00:00:02.664183,,0.8288807001224864,0.18126611490226485,12,37,0.48799795508805577,462,239,7.708078608092708e-05,0.17552686712111307,0.6152931602891042,25.4,COMPLETE
69,0.8477043308368609,2025-09-19 01:23:58.906903,2025-09-19 01:23:59.129669,0 days 00:00:00.222766,,0.9985620307633524,0.027255700783693777,10,27,0.3356276667770593,625,215,0.0008111801645600035,2.0766223668719475,0.6419983990676726,,PRUNED
70,0.9073815466683186,2025-09-19 01:23:59.152951,2025-09-19 01:24:02.668628,0 days 00:00:03.515677,balanced,0.792314251372519,0.10834124893281864,-1,56,0.6416974734464023,1104,187,0.015105319222479712,0.41038098853357763,0.7467748996820186,63.6,COMPLETE
71,0.907487484819446,2025-09-19 01:24:02.699621,2025-09-19 01:24:06.742386,0 days 00:00:04.042765,balanced,0.7866743333872314,0.1082544914529514,-1,57,0.1557030786507811,1119,124,0.0051950940548356785,0.4276205336123469,0.7503559419539818,76.4,COMPLETE
72,0.9091211290241658,2025-09-19 01:24:06.852557,2025-09-19 01:24:11.084625,0 days 00:00:04.232068,balanced,0.7398852162709979,0.10085647931871859,-1,44,0.12367059637840741,1093,141,0.013690785405357795,0.0882074275141603,0.7420952272730283,60.8,COMPLETE
73,0.9026319403522475,2025-09-19 01:24:11.115415,2025-09-19 01:24:14.430685,0 days 00:00:03.315270,balanced,0.7258769744537056,0.14638186039079926,-1,45,0.1448505828277365,1242,111,0.005037791908603731,0.028657340683660725,0.7605664382229917,41.4,COMPLETE
74,0.9082818163717065,2025-09-19 01:24:14.461268,2025-09-19 01:24:20.822522,0 days 00:00:06.361254,balanced,0.6898901235848552,0.08997353339327262,-1,68,0.3596691720246475,804,127,0.1540746135372904,0.09450183214591172,0.6020803782175486,81.4,COMPLETE
75,0.9080857284697889,2025-09-19 01:24:20.853077,2025-09-19 01:24:25.369147,0 days 00:00:04.516070,balanced,0.6778641303130079,0.08576641403937917,-1,69,0.3519002283764671,790,146,0.11377231570187173,0.009989061920206389,0.6014029862593789,80.4,COMPLETE
76,0.8538098339303158,2025-09-19 01:24:25.400480,2025-09-19 01:24:25.586569,0 days 00:00:00.186089,balanced,0.6844660113353312,0.0817344718713352,-1,69,0.353155411671303,889,144,0.12003014046752931,0.009601827731053399,0.605180369117443,,PRUNED
