number,value,datetime_start,datetime_complete,duration,params_class_weight,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mean_best_iteration,state
24,0.8866257349835948,2025-09-10 11:51:21.975260,2025-09-10 11:52:06.181090,0 days 00:00:44.205830,balanced,0.9780622957913353,0.009838432232518023,14,85,2.1114469682189467,2025,17,0.00031964696521617915,0.004018880005826508,0.6027201285442333,,PRUNED
25,0.8722859919648671,2025-09-10 11:51:25.787350,2025-09-10 11:51:52.378078,0 days 00:00:26.590728,balanced,0.8604064673793641,0.09152775168710443,14,99,0.006498443555432554,2015,15,0.00017708951642318862,0.6811021293356836,0.6218131803483359,124.4,COMPLETE
26,0.8896793684826041,2025-09-10 11:51:47.277731,2025-09-10 11:52:49.286638,0 days 00:01:02.008907,balanced,0.9949060865975528,0.011843848709343942,14,154,0.9084253426679352,1983,19,0.7672899447369822,0.003735944240091964,0.8254598519954759,,PRUNED
27,0.8648746112441611,2025-09-10 11:51:49.582296,2025-09-10 11:52:01.478237,0 days 00:00:11.895941,balanced,0.9840468212040094,0.08790190895242447,14,93,2.02516321665289,2038,125,5.188419838656768e-06,0.841080018356487,0.6067615723037207,67.0,COMPLETE
28,0.8642148192249582,2025-09-10 11:51:52.588661,2025-09-10 11:52:03.784187,0 days 00:00:11.195526,balanced,0.9999904273862109,0.10163800848860029,14,85,1.9585061893628408,1979,24,3.215403715956492e-05,0.5143323271082091,0.6051437498237303,56.2,COMPLETE
29,0.8890296592274957,2025-09-10 11:52:01.782761,2025-09-10 11:52:13.599338,0 days 00:00:11.816577,balanced,0.8568391894989386,0.09862622477107465,14,64,0.7992951193236799,2029,17,8.05208072157316e-05,0.0041016977382341896,0.6068954162772957,,PRUNED
30,0.8725454247208744,2025-09-10 11:52:04.189725,2025-09-10 11:53:53.303639,0 days 00:01:49.113914,balanced,0.8521501530913129,0.007390117121913826,14,61,0.8397980314430609,2063,57,0.0008194478912973878,0.006119319688162099,0.822221405493071,930.4,COMPLETE
31,0.8858948120715979,2025-09-10 11:52:06.477367,2025-09-10 11:52:19.885046,0 days 00:00:13.407679,balanced,0.8534696773966914,0.04471992928635881,16,68,2.7640427006550983,2132,62,0.0016885811120639885,1.8267615169909468,0.6456874976212185,,PRUNED
32,0.871178897443394,2025-09-10 11:52:13.807021,2025-09-10 11:52:20.303274,0 days 00:00:06.496253,balanced,0.9060976642704148,0.04447971695603051,16,68,3.012902010410098,2960,64,0.0014125228405987135,1.8288454088436845,0.8067419442338847,,PRUNED
33,0.8906864178280219,2025-09-10 11:52:20.179649,2025-09-10 11:52:39.886258,0 days 00:00:19.706609,balanced,0.9042220661737043,0.19120616594650544,6,97,0.8778943850045997,2894,52,4.931423436234072e-07,9.959114070146772,0.6370582436289334,,PRUNED
34,0.8662565814399814,2025-09-10 11:52:20.779535,2025-09-10 11:52:48.779003,0 days 00:00:27.999468,balanced,0.8081412586684752,0.19640226005085937,6,13,0.007356528973931606,1159,39,6.208071108126195e-07,9.122056379860194,0.8156259528386642,62.0,COMPLETE
